,ZCTA5,STATE,COUNTY
990,3586,33,9
991,3588,33,7
992,3590,33,7
993,3592,33,7
994,3593,33,7
995,3595,33,7
996,3597,33,7
997,3598,33,7
998,3601,33,19
999,3602,33,5
1000,3602,33,19
1001,3603,33,19
1002,3604,33,5
1003,3605,33,19
1004,3607,33,19
1005,3608,33,5
1006,3609,33,5
1007,3740,33,9
1008,3741,33,9
1009,3743,33,19
1010,3745,33,19
1011,3746,33,19
1012,3748,33,9
1013,3748,33,19
1014,3750,33,9
1015,3751,33,19
1016,3752,33,19
1017,3753,33,19
1018,3754,33,19
1019,3755,33,9
1020,3765,33,9
1021,3766,33,9
1022,3768,33,9
1023,3770,33,19
1024,3771,33,9
1025,3773,33,19
1026,3774,33,9
1027,3777,33,9
1028,3779,33,9
1029,3780,33,9
1030,3781,33,19
1031,3782,33,19
1032,3784,33,9
1033,3785,33,9
1034,3801,33,15
1035,3809,33,1
1036,3810,33,1
1037,3811,33,15
1038,3812,33,3
1039,3813,33,3
1040,3814,33,3
1041,3816,33,3
1042,3817,33,3
1043,3818,33,3
1044,3819,33,15
1045,3820,33,17
1046,3823,33,17
1047,3824,33,17
1048,3825,33,17
1049,3826,33,15
1050,3827,33,15
1051,3830,33,3
1052,3832,33,3
1053,3833,33,15
1054,3835,33,17
1055,3836,33,3
1056,3837,33,1
1057,3838,33,3
1058,3839,33,17
1059,3840,33,15
1060,3841,33,15
1061,3842,33,15
1062,3844,33,15
1063,3845,33,3
1064,3846,33,3
1065,3847,33,3
1066,3848,33,15
1067,3849,33,3
1068,3850,33,3
1069,3851,33,17
1070,3852,33,17
1071,3853,33,3
1072,3854,33,15
1073,3855,33,17
1074,3856,33,15
1075,3857,33,15
1076,3858,33,15
1077,3860,33,3
1078,3861,33,17
1079,3862,33,15
1080,3864,33,3
1081,3865,33,15
1082,3867,33,17
1083,3868,33,17
1084,3869,33,17
1085,3870,33,15
1086,3871,33,15
1087,3872,33,3
1088,3873,33,15
1089,3874,33,15
1090,3875,33,3
1091,3878,33,17
1092,3882,33,3
1093,3883,33,3
1094,3884,33,17
1095,3885,33,15
1096,3886,33,3
1097,3887,33,3
1098,3887,33,17
1099,3890,33,3
1100,3894,33,3
1101,3901,23,31
1102,3902,23,31
1103,3903,23,31
1104,3904,23,31
1105,3905,23,31
1106,3906,23,31
1107,3907,23,31
1108,3908,23,31
1109,3909,23,31
1110,3910,23,31
1111,3911,23,31
1112,4001,23,31
1113,4002,23,31
1114,4003,23,5
1115,4005,23,31
1116,4006,23,31
1117,4008,23,23
1118,4009,23,5
1119,4010,23,17
1120,4011,23,5
1121,4015,23,5
1122,4017,23,5
1123,4019,23,5
1124,4020,23,31
1125,4021,23,5
1126,4022,23,17
1127,4024,23,5
1128,4027,23,31
1129,4029,23,5
1130,4030,23,31
1131,4032,23,5
1132,4037,23,17
1133,4038,23,5
1134,4039,23,5
1135,4040,23,5
1136,4040,23,17
1137,4041,23,17
1138,4042,23,31
1139,4043,23,31
1140,4046,23,31
1141,4047,23,31
1142,4048,23,31
1143,4049,23,31
1144,4050,23,5
1145,4051,23,17
1146,4055,23,5
1147,4056,23,31
1148,4057,23,5
1149,4061,23,31
1150,4062,23,5
1151,4063,23,31
1152,4064,23,31
1153,4066,23,5
1154,4068,23,17
1155,4069,23,5
1156,4071,23,5
1157,4072,23,31
1158,4073,23,31
1159,4074,23,5
1160,4076,23,31
1161,4079,23,5
1162,4083,23,31
1163,4084,23,5
1164,4085,23,5
1165,4086,23,23
1166,4087,23,31
1167,4088,23,17
1168,4090,23,31
1169,4091,23,5
1170,4092,23,5
1171,4093,23,31
1172,4095,23,31
1173,4096,23,5
1174,4097,23,5
1175,4101,23,5
1176,4102,23,5
1177,4103,23,5
1178,4105,23,5
1179,4106,23,5
1180,4107,23,5
1181,4108,23,5
1182,4109,23,5
1183,4110,23,5
1184,4210,23,1
1185,4216,23,17
1186,4217,23,17
1187,4219,23,17
1188,4220,23,17
1189,4221,23,17
